episode_id,onset_timestamp,conditional_risk_score,RV20_onset,boundary_B,MAE_abs,breach_indicator
398,2023-10-27 16:30:00,0.0768036288716233,0.0006179499044632974,0.0006179499044632974,0.002800221306427474,1
399,2023-10-30 15:45:00,0.0611434329074068,0.0006483895636333258,0.0006483895636333258,0.001610951044820059,1
400,2023-10-31 12:45:00,0.0233460856213629,0.0006453714446341684,0.0006453714446341684,0.009995702487167723,1
401,2023-11-01 17:45:00,-0.0258285506296886,0.0006835301646659215,0.0006835301646659215,0.004661219692587041,1
402,2023-11-02 17:00:00,0.0535653466527819,0.0006485351548852305,0.0006485351548852305,0.0020801475839628213,1
403,2023-11-03 15:30:00,-0.7296043943192606,0.001182972671493604,0.001182972671493604,0.0028722789069458225,1
404,2023-11-09 20:15:00,0.1125961462750893,0.0005892439547144294,0.0005892439547144294,0.0034365421227288673,1
405,2023-11-14 15:30:00,-1.2296021224723506,0.0015418035693731229,0.0015418035693731229,0.008357519634780371,1
406,2023-11-15 15:30:00,-0.1062530427468382,0.0007429583376930951,0.0007429583376930951,0.00221141178135442,1
407,2023-11-16 15:30:00,0.0015081624483217,0.000640782682688592,0.000640782682688592,0.0026705974063804313,1
408,2023-11-17 15:30:00,0.1167006611641927,0.0005826746717745565,0.0005826746717745565,0.004325969410803163,1
409,2023-11-21 17:15:00,0.102563286081524,0.0005853155693595161,0.0005853155693595161,0.003259150928959782,1
410,2023-11-22 11:30:00,0.0502388080635467,0.0006212411323784224,0.0006212411323784224,0.005045665146261619,1
411,2023-11-28 17:30:00,0.0408433840265011,0.0006183176170525343,0.0006183176170525343,0.0018905487311727674,1
412,2023-11-30 10:30:00,0.0205384944928157,0.0006308282079834579,0.0006308282079834579,0.0040542703280404555,1
413,2023-12-01 18:00:00,-0.0602116390916203,0.000712899453493651,0.000712899453493651,0.0033197111719009274,1
414,2023-12-04 13:15:00,0.1156464672119078,0.000578556291984815,0.000578556291984815,0.006622296434095965,1
415,2023-12-05 12:30:00,0.1204030006926502,0.0005732353702733076,0.0005732353702733076,0.005089116596424,1
416,2023-12-07 20:15:00,0.116809374366861,0.0005702546981661507,0.0005702546981661507,0.002019790924952064,1
417,2023-12-08 16:30:00,-0.0006562046948393,0.0006284610782246822,0.0006284610782246822,0.002740071284269839,1
418,2023-12-12 15:30:00,-0.02609053920147,0.0006196394613631824,0.0006196394613631824,0.0014010867671702646,1
419,2023-12-13 21:00:00,-1.0160243411733332,0.0014082797493100018,0.0014082797493100018,0.005725671266484838,1
420,2023-12-14 15:15:00,0.0805167917802689,0.0005806090669854495,0.0005806090669854495,0.007589061525559002,1
421,2023-12-15 10:15:00,-0.1051094558429698,0.0006875959265473794,0.0006875959265473794,0.006898976966343443,1
422,2023-12-19 15:00:00,0.0258342822970357,0.0006114603412380246,0.0006114603412380246,0.0025886206359369292,1
423,2023-12-20 17:30:00,0.0989353536936762,0.0005609715238768258,0.0005609715238768258,0.003771125715784254,1
424,2023-12-27 16:45:00,0.0740648997403563,0.0005615545612748349,0.0005615545612748349,0.0015567846997784015,1
425,2023-12-28 15:45:00,-0.2218804031187475,0.0008302830253934108,0.0008302830253934108,0.0035520813395779876,1
426,2023-12-29 14:45:00,-0.0330644608308464,0.0006879869133302887,0.0006879869133302887,0.002088089163473892,1
427,2024-01-02 10:00:00,0.035501968480337,0.0005650519927596453,0.0005650519927596453,0.008082028811318165,1
428,2024-01-03 21:15:00,-0.1128158923240686,0.000694569516698251,0.000694569516698251,0.0012992599706804478,1
429,2024-01-05 17:00:00,-0.3138892603741894,0.0008611900751158149,0.0008611900751158149,0.004543844896673804,1
430,2024-01-09 14:15:00,0.1294745847520048,0.0005508598871035054,0.0005508598871035054,0.00211398188955773,1
431,2024-01-11 15:30:00,-0.216246571597974,0.0007871709112999613,0.0007871709112999613,0.002708163068886135,1
432,2024-01-12 17:15:00,0.0928526471626912,0.0005552861955728964,0.0005552861955728964,0.0033027419033728094,1
433,2024-01-16 13:30:00,0.0985425432190246,0.0005561817477174473,0.0005561817477174473,0.0027212652281694205,1
434,2024-01-17 17:00:00,0.0718602221840202,0.0005903494374226491,0.0005903494374226491,0.003216382415891692,1
435,2024-01-18 16:00:00,0.1048544126646585,0.0005488889616121764,0.0005488889616121764,0.0019401502115947392,1
436,2024-01-23 17:45:00,0.0971407326419602,0.0005496458865344227,0.0005496458865344227,0.0027386035493359947,1
437,2024-01-24 13:45:00,0.1032426676380734,0.0005706890320722675,0.0005706890320722675,0.003546736736947615,1
438,2024-01-25 17:45:00,0.1255369429716203,0.0005397721147446915,0.0005397721147446915,0.0015591919349908635,1
439,2024-01-30 17:00:00,0.0492250674092097,0.0005717245600009982,0.0005717245600009982,0.00139501604719087,1
440,2024-01-31 17:15:00,0.1282926841591104,0.000535228711150885,0.000535228711150885,0.005667934198162517,1
441,2024-02-01 18:00:00,0.0866362907394871,0.0005621371612949781,0.0005621371612949781,0.0034069073403402116,1
442,2024-02-02 15:30:00,-0.7791872089712891,0.0012212707068519606,0.0012212707068519606,0.005361893486399301,1
443,2024-02-07 20:00:00,0.1323853472017647,0.0005381444299692408,0.0005381444299692408,0.001252476123149394,1
444,2024-02-09 16:15:00,0.0293430273988933,0.000557933430822803,0.000557933430822803,0.002048639669375258,1
445,2024-02-13 15:30:00,-1.2531517819365767,0.0015993103757324927,0.0015993103757324927,0.0015127889556636545,0
446,2024-02-15 15:30:00,0.0044044513564333,0.0005345153410212324,0.0005345153410212324,0.001403000420613682,1
447,2024-02-16 15:30:00,-0.0462517921230283,0.0006030826957407269,0.0006030826957407269,0.004338643433379191,1
448,2024-02-22 10:30:00,-0.1663589073931876,0.0006762288751695339,0.0006762288751695339,0.0054258691756211815,1
449,2024-02-29 14:00:00,0.1168081053428463,0.0005254820018776389,0.0005254820018776389,0.002774799220168504,1
